id,Topic,Subtopic,Purpose,Persuasion_Techniques,Call_to_Action,Keywords,Emojis,Hashtags,Mentioned_Entities,Linked_URLs,Bias,Subjectivity,Sentiment,Emotional_Intensity,Informality,Personal_Pronouns,Persuasiveness,Factual_vs_Opinion,Political_Orientation,Emotion_Type,Time_Reference,Directness,Clarity,Tone,Device_Usage,Style,Technique,Authenticity,Theme,tweet_text
1465858544079499264,RT @zimraniaxy: This should become a trend IMOâ£ï¸ Let's all unite to help Marcus Flowers kick her to the curb. #GOPTrolls got to go ðŸ’¯nn#DemVoice1 #TransRights #BlackLivesMatter,Political Campaign,Support for Marcus Flowers,Persuade,"Appeal to emotion, Appeal to solidarity",Soft,"trend, unite, Marcus Flowers, kick her to the curb, GOPTrolls, got to go","â£ï¸, ðŸ’¯","#GOPTrolls, #DemVoice1, #TransRights, #BlackLivesMatter",Marcus Flowers,None,Strong,Highly Subjective,Positive,Moderate,Casual,First person,High,Opinionated,Left-leaning,Anticipation,Future,Direct,Clear and Unambiguous,Assertive,None,Inductive,Anecdotal Evidence,Unverified Claims,Politics
1465857554869850112,RT @BlackGeorgetown: #GivingTuesday Why give to the oldest Black cemeteries - Mt Zion and Female Union Band Society (1808 - 1950s) in DC?n3) We tell the story of the free/enslaved ancestors of Black Georgetown. Did you know it was NOT illegal for slaves to read and write in Wash DC? #blacklivesmatter https://t.co/1EPlj16dMf,Charitable Giving,Black Cemeteries,Persuade,"Appeal to Emotion, Appeal to Authority",Soft,"GivingTuesday, Black cemeteries, Mt Zion, Female Union Band Society, Black Georgetown, slaves, read, write, Wash DC, blacklivesmatter",,"GivingTuesday, blacklivesmatter","Black Georgetown, Mt Zion, Female Union Band Society",https://t.co/1EPlj16dMf,Moderate,Somewhat Subjective,Mixed,Moderate,Semi-formal,We,High,Mixed,None,Anticipation,Past,Direct,Clear and Unambiguous,Assertive,None,Deductive,Storytelling,Verified Facts,Social Issues
1465865400227409921,Thank you @mmcornelius,Gratitude,Not Applicable,Expressing Gratitude,Not Applicable,None,Thank you,Not Applicable,Not Applicable,@mmcornelius,Not Applicable,Neutral,Somewhat Subjective,Positive,Calm,Casual,Not Applicable,Low,Opinionated,None,Joy,Not Applicable,Direct,Clear and Unambiguous,Passive,Not Applicable,Not Applicable,Not Applicable,Verified Facts,Not Applicable
1465849870145802242,"Justice For Daunte Wrightn""Let Minnesota not become known as a place where cops kill black and brown people, but where juries convict the one that do."" n#DaunteWright #BlackLivesMatter n@blmminnesota @cuapbmn @wamm_mn @cairmn @tcclimatejustice @racejustice @visualblackjustice https://t.co/qESkkqfZzk",Daunte Wright Case,"Police Brutality, Racial Injustice",To Persuade,"Appeal to Emotion, Appeal to Fairness",None,"Justice, Daunte Wright, Minnesota, Cops, Black, Brown, People, Juries, Convict",None,"#DaunteWright, #BlackLivesMatter","@blmminnesota, @cuapbmn, @wamm_mn, @cairmn, @tcclimatejustice, @racejustice, @visualblackjustice",https://t.co/qESkkqfZzk,Strong,Highly Subjective,Negative,High,Semi-formal,Third person,High,Opinionated,Left-leaning,Anger,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,Storytelling,Unverified Claims,Social Issues
1465836657559670788,"RT @KingJames: Thank you to my guys Coach @LloydPierceLP, Coach Fiz, and @jocelynbenson for nyour help!  Our community is the most vulnerable to covid.  @Morethanavote #BlackLivesMatter https://t.co/S0VFbNCqJm",COVID-19 and Vulnerable Communities,Acknowledgement of Assistance,To express gratitude and highlight an issue,"Appeal to emotion, Appeal to authority",None,"Thank you, Coach, community, vulnerable, covid",None,#BlackLivesMatter,"@KingJames, @LloydPierceLP, Coach Fiz, @jocelynbenson, @Morethanavote",https://t.co/S0VFbNCqJm,Neutral,Somewhat Subjective,Positive,Moderate,Semi-formal,First person,Medium,Mixed,None,Gratitude,Present,Direct,Clear and Unambiguous,Assertive,None,None,None,Verified Facts,"Health and Wellness, Social Issues"
1465857002723184645,RT @Mindcite_US: Retweet if you see any connection between America's highest ranking elected Republican and his party's obstruction of the Freedom to Vote and John Lewis Voting Rights acts.nn#BlackLivesMatter #FreshVoicesRise #DemVoice1 #ONEV1 #quote https://t.co/eXh37aATpK,American Politics,Voting Rights Acts,To Persuade,"Appeal to Authority, Appeal to Emotion",Soft,"America's highest ranking elected Republican, party's obstruction, Freedom to Vote, John Lewis Voting Rights acts",None,"#BlackLivesMatter, #FreshVoicesRise, #DemVoice1, #ONEV1, #quote","Mindcite_US, Republican party, John Lewis",https://t.co/eXh37aATpK,Strong,Highly Subjective,Negative,Moderate,Semi-formal,Second person,High,Opinionated,Left-leaning,Anger,Present,Indirect,Clear and Unambiguous,Assertive,None,Deductive,Anecdotal Evidence,Unverified Claims,Politics
1465834035993792512,When she says she's having a girls night out what she's really doing is going to pay her bull a visit.n#Snowbunny #BBC #BlackBred #BlackBreeding #BLM #BNWO #QoS #BlackLivesMatter #Built4BBC #Blacked #SayNoToWhiteGuys #saynotowhitebois2021 #nomorewhitebois #BBConly https://t.co/Hcjt3CbYSb,Personal Relationships,Dating,To express personal opinion,Appeal to emotion,None,"girls night out, bull, visit",,"#Snowbunny, #BBC, #BlackBred, #BlackBreeding, #BLM, #BNWO, #QoS, #BlackLivesMatter, #Built4BBC, #Blacked, #SayNoToWhiteGuys, #saynotowhitebois2021, #nomorewhitebois, #BBConly",,https://t.co/Hcjt3CbYSb,Strong,Highly Subjective,Neutral,Moderate,Casual,she,Medium,Opinionated,None,Neutral,Present,Indirect,Clear and Unambiguous,Assertive,Metaphor,Deductive,Storytelling,Unverified Claims,Social Issues
1465844612455665666,RT @zimraniaxy: This should become a trend IMOâ£ï¸ Let's all unite to help Marcus Flowers kick her to the curb. #GOPTrolls got to go ðŸ’¯nn#DemVoice1 #TransRights #BlackLivesMatter,Political Campaign,Support for Marcus Flowers,Persuade,"Appeal to emotion, Appeal to unity",Soft,"trend, unite, Marcus Flowers, kick her to the curb, GOPTrolls, go","â£ï¸, ðŸ’¯","#GOPTrolls, #DemVoice1, #TransRights, #BlackLivesMatter",Marcus Flowers,None,Strong,Highly Subjective,Mixed,High,Casual,Third person,High,Opinionated,Left-leaning,Anticipation,Present,Direct,Clear and Unambiguous,Assertive,None,Inductive,Anecdotal Evidence,Unverified Claims,Politics
1465860905342844936,Former Minnesota police officer Kim Potter standing trial for the death of Daunte Wright. Live coverage of that & your other top legal stories on @CourtTV #kimpotter #dauntewright #justicefordauntewright #blacklivesmatter #bluelivesmatter #justice #courttv https://t.co/R1wYYBEZ6Z,Kim Potter trial,Death of Daunte Wright,To inform,None,None,"Kim Potter, Daunte Wright, trial, justice, CourtTV, live coverage",None,"kimpotter, dauntewright, justicefordauntewright, blacklivesmatter, bluelivesmatter, justice, courttv","Kim Potter, Daunte Wright, Minnesota, CourtTV",https://t.co/R1wYYBEZ6Z,Neutral,Objective,Neutral,Calm,Formal,Third person,Low,Factual,None,None,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,None,Verified Facts,Legal and Social Issues
1465836137642172420,@Blklivesmatter Merry Christmas to all. n#alllivesmatter https://t.co/fWSYmBUQ5G,Holiday Greetings,Christmas Greetings,Express feelings,None,None,"Merry Christmas, all",None,#alllivesmatter,@Blklivesmatter,https://t.co/fWSYmBUQ5G,Neutral,Somewhat Subjective,Positive,Calm,Casual,None,Low,Opinionated,None,Joy,Present,Direct,Clear and Unambiguous,Passive,None,Deductive,None,Unverified Claims,Social Issues
1465859829646254080,"Stay up to date with BLM Phoenix Metro, our ministries, and upcoming events by signing up for our monthly newsletter. The link is https://t.co/9WPswBKSCv! #blmphoenixmetro #blacklivesmatter https://t.co/GNHD53dunu",BLM Phoenix Metro,Monthly Newsletter,To Inform,None,Soft,"BLM Phoenix Metro, ministries, upcoming events, monthly newsletter",None,"blmphoenixmetro, blacklivesmatter",BLM Phoenix Metro,"https://t.co/9WPswBKSCv, https://t.co/GNHD53dunu",Neutral,Objective,Neutral,Calm,Semi-formal,Our,Low,Factual,Left-leaning,None,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,None,Verified Facts,Social Issues
1465859537005654016,RT @zimraniaxy: This should become a trend IMOâ£ï¸ Let's all unite to help Marcus Flowers kick her to the curb. #GOPTrolls got to go ðŸ’¯nn#DemVoice1 #TransRights #BlackLivesMatter,Political support,Support for Marcus Flowers,Persuade,"Appeal to emotion, Bandwagon",Soft,"Unite, Marcus Flowers, kick her to the curb, GOPTrolls, trend","â£ï¸, ðŸ’¯","#GOPTrolls, #DemVoice1, #TransRights, #BlackLivesMatter",Marcus Flowers,None,Strong,Highly Subjective,Mixed,Moderate,Casual,"Let's, her",High,Opinionated,Left-leaning,Anticipation,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,Storytelling,Unverified Claims,Politics
1465838314695581696,"@ACLU Wait! So lawyers are now doctors? omg shut up, please.nn@ACLU = #LIARS nn#DefundThePolice #BlackLivesMatter nnhttps://t.co/C24Wsip9cJnhttps://dtptoken.x (IPFS Website)nn.","ACLU, Defunding the Police, Black Lives Matter","Role of Lawyers, Accusation of Lying","Express Disagreement, Criticize","Name-calling, Stereotyping",None,"ACLU, lawyers, doctors, shut up, liars, DefundThePolice, BlackLivesMatter",,"#LIARS, #DefundThePolice, #BlackLivesMatter",ACLU,"https://t.co/C24Wsip9cJ, https://dtptoken.x",Strong,Highly Subjective,Negative,High,Casual,So,Medium,Opinionated,Right-leaning,Anger,Present,Direct,Clear and Unambiguous,Aggressive,Rhetorical Question,Deductive,Storytelling,Unverified Claims,"Politics, Social Issues"
1465860275576328199,RT @SpeakUpParents: Please support our Cultivating Young Black Excellence tutoring and mentoring program on #GivingTuesday. Watch the Spectrum story below about this partnership with @LoyolaMarymount and @laurbanleague and donate here:  https://t.co/GayYvR29l1 #BlackTwitter #BlackLivesMatter https://t.co/2mU9vIgy7H,Cultivating Young Black Excellence program,"Fundraising, Tutoring and Mentoring",Persuade,"Appeal to Emotion, Authority",Hard,"support, Cultivating Young Black Excellence, tutoring, mentoring, GivingTuesday, Spectrum story, partnership, donate",,"GivingTuesday, BlackTwitter, BlackLivesMatter","SpeakUpParents, LoyolaMarymount, laurbanleague","https://t.co/GayYvR29l1, https://t.co/2mU9vIgy7H",Moderate,Somewhat Subjective,Positive,Moderate,Semi-formal,our,High,Mixed,None,Anticipation,Present,Direct,Clear and Unambiguous,Assertive,None,Inductive,Storytelling,Verified Facts,"Education, Social Issues"
1465847359883997184,RT @reno_ralph: https://t.co/OhbXM1qeSj #TYTlive:#MarjorieTaylorGreene blasted fellow Repub Rep. #NancyMace after Mace criticized Rep. #LaurenBoebert for an anti-Muslim remark #Boebert made about Rep.#IlhanOmar. #BlackLivesMatter #NotMeUs #JusticeDems #JusticeDemocrats #Progressives #Progressive,Political Dispute,Inter-party Dispute,Inform,None,None,"Marjorie Taylor Greene, Nancy Mace, Lauren Boebert, anti-Muslim remark, Ilhan Omar",None,"TYTlive, MarjorieTaylorGreene, NancyMace, LaurenBoebert, IlhanOmar, BlackLivesMatter, NotMeUs, JusticeDems, JusticeDemocrats, Progressives, Progressive","Marjorie Taylor Greene, Nancy Mace, Lauren Boebert, Ilhan Omar",https://t.co/OhbXM1qeSj,Moderate,Objective,Negative,Moderate,Semi-formal,Third person,Low,Mixed,Left-leaning,Anger,Past,Direct,Clear and Unambiguous,Assertive,None,Deductive,None,Unverified Claims,Politics
1465846399501844480,RT @lebron_chris: Happening this Thursday - me & @jelani9 talk his new collected volume of essays on #BlackLivesMatter at @JohnsHopkins - free and open to the public. Zoom link belown@JHUArtsSciences @jhuafricanan@RicJhu n#raceanddemocracy #blackthought #publicintellectual https://t.co/DlE0xyhNbo,Discussion Event,"Black Lives Matter, Collected Essays, Public Intellectual",Inform,None,Soft,"Thursday, talk, new collected volume of essays, Black Lives Matter, Johns Hopkins, free, open to the public, Zoom link",None,"#BlackLivesMatter, #raceanddemocracy, #blackthought, #publicintellectual","@lebron_chris, @jelani9, @JohnsHopkins, @JHUArtsSciences, @jhuafricanan, @RicJhu",https://t.co/DlE0xyhNbo,Neutral,Objective,Neutral,Calm,Formal,First person,Low,Factual,None,None,Future,Direct,Clear and Unambiguous,Assertive,None,None,None,Verified Facts,"Education, Social Issues"
1465861861207851014,"@Blklivesmatter @yesmagazine @JoeBiden #BLACKLIVESMATTERÂ©Â®â„¢ has a copyright, an AUTHOR & NO COFOUNDERS!! nBLK IS FAKEBLM!n@FBI if GEHAZI BLKnCOLLECTS/accepts  ANY BLMÂ©Â®â„¢ MONEY, TAKE THEM TO JAIL Including @MRILEYTHOMAS WHO APPOINTED THESE TO ROB, GOD, ME & CHURCHES! #NoExceptionsnNO MISAPPROPRIATIONSn@GavinNewsom â›”",Black Lives Matter Movement,Misappropriation of BLM funds,To inform and express dissatisfaction,Appeal to authority,Hard,"BLACKLIVESMATTER, FAKEBLM, GEHAZI BLK, MONEY, JAIL, MISAPPROPRIATIONS",â›”,"#BLACKLIVESMATTER, #NoExceptions","@Blklivesmatter, @yesmagazine, @JoeBiden, @FBI, @MRILEYTHOMAS, @GavinNewsom",,Strong,Highly Subjective,Negative,High,Casual,"ME, THESE",High,Opinionated,None,Anger,Present,Direct,Ambiguous,Aggressive,None,Deductive,None,Unverified Claims,Social Issues
1465857788786192392,RT @BlackGeorgetown: #GivingTuesday Why give to the oldest Black cemeteries - Mt Zion and Female Union Band Society (1808 - 1950s) in DC?n3) We tell the story of the free/enslaved ancestors of Black Georgetown. Did you know it was NOT illegal for slaves to read and write in Wash DC? #blacklivesmatter https://t.co/1EPlj16dMf,Donation,Support for Black Cemeteries,Persuade,"Appeal to Emotion, Anecdotal Evidence",Soft,"GivingTuesday, Black cemeteries, Mt Zion, Female Union Band Society, Black Georgetown, slaves, read and write",,"GivingTuesday, blacklivesmatter","BlackGeorgetown, Mt Zion, Female Union Band Society",https://t.co/1EPlj16dMf,Moderate,Somewhat Subjective,Neutral,Moderate,Semi-formal,We,Medium,Mixed,None,Anticipation,Past,Direct,Clear and Unambiguous,Assertive,,Deductive,Storytelling,Unverified Claims,Social Issues
1465858558755495939,RT @behearddc: Want to support a really cool kid and receive some awesome clothing? nnSupport Siok's artwork honoring Black Deaf Trans kids! nnVisit https://t.co/mhYRioNYohnnID credit to Najmann#DisabilitySolidarityn#blackTRANSlivesmatter n#ProtectBlackTransKidsn#BlackLivesMatter https://t.co/lJrmg59m5g,Support for Black Deaf Trans Kids,Promotion of Siok's Artwork,Persuade,"Appeal to Emotion, Appeal to Ethical Responsibility",Hard,"support, Black Deaf Trans kids, artwork, clothing",,"#DisabilitySolidarity, #blackTRANSlivesmatter, #ProtectBlackTransKids, #BlackLivesMatter","Siok, @behearddc, Najmann","https://t.co/mhYRioNYoh, https://t.co/lJrmg59m5g",Strong,Somewhat Subjective,Positive,Moderate,Semi-formal,you,High,Mixed,Left-leaning,Anticipation,Present,Direct,Clear and Unambiguous,Assertive,,Deductive,Anecdotal Evidence,Verified Facts,Social Issues
1465866818979971072,RT @doug_maga: Does anyone else think that it's horribly #racist for the #Biden administration to restrict travel from #BlackLivesMatter #African #SouthAfrica and allow unrestricted travel from lily-white #Europe?n#FJB #LetsGoBrandon #PoopyPantsBiden https://t.co/wC1dFddSFX,Travel Restrictions,Biden Administration's Travel Policy,To Express Discontent,"Appeal to Emotion, Loaded Language",None,"racist, Biden administration, restrict travel, BlackLivesMatter, African, South Africa, unrestricted travel, Europe, FJB, LetsGoBrandon, PoopyPantsBiden",,"racist, Biden, BlackLivesMatter, African, SouthAfrica, Europe, FJB, LetsGoBrandon, PoopyPantsBiden","Biden administration, Europe, South Africa",https://t.co/wC1dFddSFX,Strong,Highly Subjective,Negative,High,Casual,"anyone, it's, from",High,Opinionated,Right-leaning,Anger,Present,Direct,Clear and Unambiguous,Aggressive,Rhetorical Question,Deductive,Anecdotal Evidence,Unverified Claims,Politics
1465844277485969408,#myrtlebeach #chicago #cleveland #baltimore #nyc #blm #blacklivesmatter #blackexcellence #ohio #southcarolina #viral #worldstar #global #losangeles #socastee #horrycounty #columbiasc #allianceohio #newyorkcity #charolettenc #endtimes #biblestudy #bibleprophecy #charlestonsc https://t.co/d5RrGJ8RpU,Various,Various,Unknown,None,None,"myrtlebeach, chicago, cleveland, baltimore, nyc, blm, blacklivesmatter, blackexcellence, ohio, southcarolina, viral, worldstar, global, losangeles, socastee, horrycounty, columbiasc, allianceohio, newyorkcity, charolettenc, endtimes, biblestudy, bibleprophecy, charlestonsc",None,"#myrtlebeach, #chicago, #cleveland, #baltimore, #nyc, #blm, #blacklivesmatter, #blackexcellence, #ohio, #southcarolina, #viral, #worldstar, #global, #losangeles, #socastee, #horrycounty, #columbiasc, #allianceohio, #newyorkcity, #charolettenc, #endtimes, #biblestudy, #bibleprophecy, #charlestonsc",None,https://t.co/d5RrGJ8RpU,Neutral,Objective,Neutral,Calm,Formal,None,Low,Factual,None,None,None,Direct,Ambiguous,Neutral,None,None,None,Unverified,Various
1465838525128101891,RT @DVStrategies: #BaltimoreCounty!!! Bring you expertise to this opportunity to #ReimaginePublicSafety#EndPoliceBrutality + bring  #BlackLivesMatter principles to local policy decisions. APPLYâ¬‡ï¸ cc @ACLU_MD @NAACPBaltCounty @NAACP_7032 @n@thee_lo_down @indivisibletows @rdkinder14 @peta_richkus,Public Safety and Police Brutality,"Reimagining Public Safety, Ending Police Brutality, Black Lives Matter Principles",Persuade,"Appeal to Authority, Appeal to Social Good",Hard,"BaltimoreCounty, ReimaginePublicSafety, EndPoliceBrutality, BlackLivesMatter, policy decisions, APPLY",,"#BaltimoreCounty, #ReimaginePublicSafety, #EndPoliceBrutality, #BlackLivesMatter","@DVStrategies, @ACLU_MD, @NAACPBaltCounty, @NAACP_7032, @thee_lo_down, @indivisibletows, @rdkinder14, @peta_richkus",,Strong,Highly Subjective,Mixed,Moderate,Semi-formal,you,High,Opinionated,Left-leaning,Anticipation,Present,Direct,Clear and Unambiguous,Assertive,,Deductive,,Unverified Claims,Social Issues
1465836257599238150,"This is for the gun loving, 2nd amendment screaming, #alllivesmatter, #MyBodyMyChoice, nâ€œPRO-LIFEâ€ crowd out there. #oxfordhighschool #OxfordHigh #GunControlNow #GunViolence #BetoForTexas",Gun Control,"2nd Amendment, Pro-Life, All Lives Matter, My Body My Choice",Persuade,Appeal to Emotion,None,"gun loving, 2nd amendment, all lives matter, my body my choice, pro-life, Oxford High School, gun control now, gun violence, Beto for Texas",,"#alllivesmatter, #MyBodyMyChoice, #oxfordhighschool, #OxfordHigh, #GunControlNow, #GunViolence, #BetoForTexas",,,Strong,Highly Subjective,Negative,High,Casual,This,High,Opinionated,Left-leaning,Anger,Present,Direct,Clear and Unambiguous,Aggressive,,,,Unverified Claims,Politics
1465851011055202309,#massshootings #gunviolence #guncontrol #guns #blacklivesmatter #mentalhealth #gunreform #secondamendment #children #democrats #cnn #enoughisenough #theresistance #schoolshootingsmuststop #gunviolenceneedstostop https://t.co/hfJMiGU2uy https://t.co/luOBHEqZ0u,Gun Violence,"Mass Shootings, Gun Control, Mental Health, Second Amendment, Children, Democrats, CNN, Resistance, School Shootings",To Inform,None,None,"Mass Shootings, Gun Violence, Gun Control, Guns, Black Lives Matter, Mental Health, Gun Reform, Second Amendment, Children, Democrats, CNN, Enough is Enough, The Resistance, School Shootings Must Stop, Gun Violence Needs to Stop",None,"#massshootings, #gunviolence, #guncontrol, #guns, #blacklivesmatter, #mentalhealth, #gunreform, #secondamendment, #children, #democrats, #cnn, #enoughisenough, #theresistance, #schoolshootingsmuststop, #gunviolenceneedstostop",None,"https://t.co/hfJMiGU2uy, https://t.co/luOBHEqZ0u",Moderate,Objective,Negative,Moderate,Semi-formal,None,Low,Factual,Left-leaning,Anger,None,Direct,Clear and Unambiguous,Assertive,None,None,None,Unverified Claims,Social Issues
1465841153044058114,#massshootings #gunviolence #guncontrol #guns #blacklivesmatter #mentalhealth #gunreform #secondamendment #children #democrats #cnn #enoughisenough #theresistance #schoolshootingsmuststop #gunviolenceneedstostop https://t.co/hfJMiGU2uy https://t.co/zNXnISlWo5,Gun Control,"Mass Shootings, Gun Violence, Gun Reform, Second Amendment, School Shootings, Mental Health, Black Lives Matter",To Inform,None,None,"Mass Shootings, Gun Violence, Gun Control, Guns, Black Lives Matter, Mental Health, Gun Reform, Second Amendment, Children, Democrats, CNN, Enough is Enough, The Resistance, School Shootings Must Stop, Gun Violence Needs to Stop",None,"massshootings, gunviolence, guncontrol, guns, blacklivesmatter, mentalhealth, gunreform, secondamendment, children, democrats, cnn, enoughisenough, theresistance, schoolshootingsmuststop, gunviolenceneedstostop","CNN, Democrats","https://t.co/hfJMiGU2uy, https://t.co/zNXnISlWo5",Moderate,Objective,Neutral,Calm,Formal,None,Low,Factual,Left-leaning,None,None,Direct,Clear and Unambiguous,Passive,None,None,None,Unverified Claims,Politics
